id,race_name,city,month_name,state_name,mara_type,tenk_type,half_type,fivek_type,kid_type,relay_type,latitude,longitude,geom
1,Run Crandic,Iowa City,April,Iowa,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,41.66126,-91.5299,
2,Main to Main,Osage,August,Iowa,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,43.28408,-92.8112,
3,University of Okoboji,Okoboji,July,Iowa,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,43.38636,-95.1483,
4,Run4Troops,Dyersville,June,Iowa,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,42.48444,-91.1229,
5,Des Moines,Des Moines,October,Iowa,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,41.59106,-93.6037,
6,Spring chance BQ.2,Geneva,April,Illinois,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.88753,-88.3054,
7,Illinois,Champlain,April,Illinois,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,40.1164,-88.2434,
8,Straved Rock Country,Ottawa,May,Illinois,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,41.35166,-88.8454,
9,Chicagoland Spring,Schaumburg,May,Illinois,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,42.03336,-88.0834,
10,Rockford,Rockford,May,Illinois,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,42.2714,-89.094,
11,Road to Carthage,Nauvoo,May,Illinois,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,40.55004,-91.3849,
12,Tunnel Hill,Vienna,November,Illinois,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,37.4153,-88.8978,
13,Des Plaines River Trail Races,Libertyville,October,Illinois,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,42.28308,-87.9531,
14,Chicago,Chicago,October,Illinois,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,41.87556,-87.6244,
15,Whiskeydaddle Races,Peoria,October,Illinois,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,40.69386,-89.5891,
16,Springfield,Springfield,October,Illinois,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,39.79898,-89.6444,
17,Shawnee,Harrisburg,October,Illinois,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,37.7385,-88.5405,
18,Last Chance BQ.2,Geneva,September,Illinois,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41.88753,-88.3054,
19,Fox Valley,St. Charles,September,Illinois,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,41.91396,-88.3125,
20,Quad Cities,Moline,September,Illinois,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,41.5067,-90.5151,
21,Belleville Main Street,Belleville,September,Illinois,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38.52005,-89.984,
22,Martian Invasion of Races,Dearborn,April,Michigan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,42.32226,-83.1763,
23,Hurt the Dirt at Luton Park Trails,Rockford,April,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,43.11972,-85.5596,
24,Trail,Pinckney,April,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,42.4567,-83.9463,
25,Milennium Meadows,Grand Rapids,August,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,42.96324,-85.6679,
26,Ground Hog,Grand Rapids,February,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,42.96324,-85.6679,
27,Waugoshance Trail,Mackinaw City,July,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,45.7839,-84.7278,
28,Grand Island Trail,Munising,July,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,46.40978,-86.6494,
29,Yankee Springs Trail,Middleville,June,Michigan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,42.71309,-85.462,
30,One in Five,Walker,June,Michigan,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,43.0056,-85.7742,
31,Whitefish Point,Paradise,June,Michigan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46.62752,-85.0376,
32,Charlevoix,Charleviox,June,Michigan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,43.6212,-84.6824,
33,Two Hearted Trail,Paradise,June,Michigan,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,46.62752,-85.0376,
34,Ann Arbor,Ann Arbor,March,Michigan,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,42.26816,-83.7312,
35,Kalamazoo,Kalamazoo,May,Michigan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,42.29171,-85.5872,
36,Stafford's Top of Michigan,Charleviox,May,Michigan,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,43.6212,-84.6824,
